datetime,wordcount
2023-09-19T08:53:02+00:00,1722
2023-09-19T09:55:49+00:00,1931
2023-09-19T10:09:10+00:00,1931
2023-09-19T10:32:48+00:00,2240
2023-09-19T12:34:44+00:00,2399
2023-09-19T13:23:14+00:00,2427
2023-09-19T16:12:53+00:00,11641
2023-09-19T16:37:18+00:00,21531
2023-09-20T10:24:28+00:00,21533
2023-09-20T11:57:07+00:00,21532
2023-09-20T13:13:18+00:00,21532
2023-09-20T13:25:39+00:00,21532
2023-09-20T13:54:56+00:00,21531
2023-09-20T14:40:36+00:00,21531
2023-09-21T14:53:35+00:00,21531
2023-09-21T14:57:23+00:00,21558
2023-09-22T21:01:06+00:00,22098
2023-09-22T21:33:36+00:00,22103
2023-09-22T22:08:04+00:00,22103
2023-09-25T10:13:56+00:00,22375
2023-09-25T13:12:52+00:00,22375
2023-09-25T15:37:03+00:00,22980
2023-09-26T09:09:07+00:00,22982
2023-09-26T12:22:15+00:00,23009
2023-09-26T15:17:46+00:00,23072
2023-09-27T21:22:13+00:00,23067
2023-09-27T21:50:13+00:00,23062
2023-09-28T15:44:12+00:00,23162
2023-09-28T17:03:17+00:00,23161
2023-09-28T18:03:21+00:00,23161
2023-09-28T21:46:08+00:00,23179
2023-09-29T08:55:36+00:00,23179
2023-09-29T09:11:25+00:00,23179
2023-09-29T10:31:23+00:00,23159
2023-09-29T12:58:37+00:00,23338
2023-09-29T13:03:18+00:00,23107
2023-09-29T14:17:54+00:00,23104
2023-10-01T08:16:22+00:00,22502
2023-10-02T09:14:15+00:00,22502
2023-10-02T09:19:40+00:00,22502
2023-10-02T10:18:47+00:00,22686
2023-10-03T09:38:16+00:00,22737
2023-10-03T09:42:11+00:00,22737
2023-10-03T09:48:06+00:00,22737
2023-10-05T09:08:13+00:00,22737
2023-10-05T09:11:30+00:00,22737
2023-10-05T09:50:06+00:00,22741
2023-10-05T10:02:08+00:00,22741
2023-10-05T10:12:54+00:00,22741
2023-10-05T12:06:16+00:00,22741
2023-10-10T15:24:18+00:00,22741
2023-10-11T08:23:53+00:00,22741
2023-10-11T08:30:26+00:00,22741
2023-10-11T09:06:48+00:00,23006
2023-10-11T09:28:37+00:00,23006
2023-10-11T09:44:21+00:00,23006
2023-10-11T10:19:26+00:00,21975
2023-10-11T10:24:50+00:00,22010
2023-10-11T10:41:08+00:00,22010
2023-11-15T21:58:46+00:00,22352
2023-11-16T09:09:50+00:00,22352
2023-11-16T11:22:16+00:00,22507
2023-11-17T15:38:08+00:00,22607
2023-11-22T13:19:45+00:00,23053
2023-11-22T13:53:36+00:00,23439
2023-11-22T14:37:11+00:00,23618
2023-11-22T15:04:30+00:00,23730
2023-11-22T15:18:24+00:00,24024
2023-11-22T15:57:46+00:00,23989
2023-11-22T16:00:42+00:00,24004
2023-11-22T17:41:22+00:00,24200
2023-11-22T17:42:15+00:00,24212
2023-11-23T10:26:44+00:00,24231
2023-11-23T10:39:20+00:00,24231
2023-11-23T14:52:20+00:00,24468
2023-11-23T14:55:17+00:00,24468
2023-11-24T16:56:04+00:00,24916
2023-11-24T16:58:45+00:00,24916
2023-11-25T10:08:12+00:00,25283
2023-11-27T13:13:54+00:00,25300
2023-11-27T13:55:44+00:00,25986
2023-11-27T13:56:48+00:00,26001
2023-11-27T15:37:57+00:00,26001
2023-11-27T15:38:53+00:00,26001
2023-11-27T15:56:32+00:00,26015
2023-11-27T16:14:51+00:00,26243
2023-11-27T16:21:56+00:00,26252
2023-11-27T17:07:41+00:00,26171
2023-11-28T10:17:46+00:00,26171
2023-11-28T14:11:29+00:00,26680
2023-11-29T09:18:58+00:00,26689
2023-11-29T11:39:08+00:00,26697
2023-11-29T14:15:15+00:00,27085
2023-11-29T14:18:08+00:00,27086
2023-11-29T14:26:59+00:00,27086
2023-11-29T14:43:54+00:00,27115
2023-11-29T15:30:56+00:00,27207
2023-11-29T16:56:39+00:00,27406
2023-11-29T17:19:08+00:00,27733
2023-11-30T10:56:50+00:00,27733
2023-11-30T10:57:39+00:00,27733
2023-11-30T11:01:35+00:00,27733
2023-11-30T11:04:08+00:00,27733
2023-11-30T11:17:12+00:00,28137
2023-11-30T11:25:28+00:00,28077
2023-11-30T14:50:31+00:00,28202
2023-11-30T14:58:39+00:00,28202
2023-12-04T16:15:29+00:00,28469
2023-12-04T19:52:42+00:00,28704
2023-12-05T11:13:51+00:00,28704
2023-12-05T11:31:27+00:00,28704
2023-12-05T13:35:26+00:00,28704
2023-12-05T15:13:48+00:00,31946
2023-12-05T15:16:29+00:00,31946
2023-12-05T15:17:30+00:00,31946
2023-12-05T16:14:37+00:00,32407
2023-12-05T16:15:41+00:00,32407
2023-12-05T16:50:12+00:00,32414
2023-12-05T18:19:21+00:00,32702
2023-12-06T09:31:35+00:00,32702
2023-12-06T14:05:33+00:00,33261
2023-12-06T14:22:26+00:00,33268
2023-12-06T15:06:56+00:00,33228
2023-12-06T15:22:09+00:00,33433
2023-12-06T15:32:03+00:00,33976
2023-12-07T17:48:33+00:00,34674
2023-12-07T17:49:30+00:00,34674
2024-01-09T10:09:37+00:00,35121
2024-01-17T14:58:11+00:00,35121
2024-01-17T14:59:17+00:00,35121
2024-01-17T15:28:05+00:00,35478
2024-01-24T15:47:11+00:00,35716
2024-01-24T15:54:30+00:00,35878
2024-01-25T13:59:37+00:00,35904
